Vendas_Cafe,Preco_Cafe,Promocao,Preco_Leite
18,4.77,Nao,4.74
20,4.67,Nao,4.81
23,4.75,Nao,4.36
23,4.74,Nao,4.29
23,4.63,Nao,4.17
23,4.56,Nao,4.66
24,4.59,Nao,4.73
25,4.75,Nao,4.11
26,4.75,Sim,4.21
26,4.49,Nao,4.25
26,4.41,Sim,4.62
26,4.32,Nao,4.53
27,4.68,Nao,4.44
28,4.66,Sim,4.19
28,4.42,Sim,4.37
29,4.71,Nao,4.29
29,4.66,Sim,4.57
30,4.46,Sim,4.21
30,4.36,Sim,4.77
31,4.47,Nao,4
31,4.43,Nao,4.31
33,4.4,Sim,4.34
34,4.61,Sim,4.05
35,4.09,Sim,4.73
38,3.73,Nao,4.07
39,3.89,Sim,4.75
41,4.35,Sim,4
44,3.84,Sim,4.15
44,3.81,Sim,4.34
46,3.79,Sim,4.15
