Prova_Logica,Redacao,Auto_Avaliacao,Classe
2,1,1,Ruim
2,1,1,Ruim
5,1,1,Ruim
5,4,1,Boa
5,3,1,Ruim
2,3,1,Ruim
3,5,1,Boa
2,5,7,Boa
1,9,1,Boa
4,1,1,Ruim
5,1,1,Ruim
8,1,9,Boa
1,1,1,Ruim
1,1,1,Ruim
3,4,1,Boa
4,3,3,Ruim
3,3,6,Ruim
2,1,1,Ruim
1,1,1,Ruim
1,1,1,Ruim
8,1,1,Boa
8,7,1,Boa
1,1,1,Ruim
2,1,1,Ruim
1,8,1,Boa
5,1,1,Ruim
3,1,1,Ruim
3,1,1,Ruim
5,3,1,Boa
4,8,1,Boa
4,3,1,Ruim
1,1,1,Ruim
8,5,3,Boa
3,3,1,Boa
2,3,1,Ruim
3,1,1,Ruim
3,2,1,Ruim
2,7,9,Boa
1,1,1,Ruim
1,1,1,Ruim
5,1,1,Boa
4,1,1,Ruim
1,1,1,Ruim
5,1,1,Ruim
3,7,8,Boa
1,1,1,Ruim
4,1,1,Ruim
6,8,9,Boa
1,7,7,Boa
1,1,1,Ruim
8,1,2,Boa
1,1,1,Ruim
1,1,1,Ruim
5,1,1,Ruim
1,1,1,Ruim
5,1,1,Ruim
3,1,1,Ruim
1,1,1,Ruim
1,1,1,Ruim
8,1,7,Boa
1,5,1,Boa
1,1,3,Boa
1,8,8,Boa
1,5,1,Boa
1,1,1,Ruim
2,1,1,Ruim
1,1,1,Ruim
5,1,1,Ruim
5,1,1,Ruim
4,2,6,Boa
2,1,1,Ruim
1,1,1,Boa
8,6,1,Boa
4,1,2,Ruim
5,1,1,Ruim
1,1,1,Ruim
3,1,1,Ruim
3,1,1,Ruim
3,1,1,Ruim
5,1,1,Ruim
3,4,3,Boa
1,1,1,Ruim
7,8,8,Boa
1,5,3,Boa
1,1,1,Ruim
2,5,6,Boa
9,8,1,Boa
5,1,6,Boa
3,1,1,Ruim
1,1,1,Ruim
5,5,3,Boa
1,1,1,Ruim
4,1,1,Ruim
2,1,1,Ruim
1,2,1,Ruim
4,3,8,Ruim
3,3,5,Ruim
3,1,3,Boa
8,3,3,Boa
1,8,1,Boa
1,1,1,Ruim
8,4,3,Ruim
5,6,1,Boa
1,1,1,Ruim
1,1,1,Ruim
1,1,1,Ruim
5,1,1,Ruim
8,3,6,Boa
5,1,1,Boa
1,1,2,Boa
4,2,1,Ruim
2,3,1,Ruim
5,2,1,Ruim
4,1,1,Ruim
5,1,1,Ruim
3,1,4,Boa
3,1,1,Ruim
5,4,6,Ruim
5,1,1,Ruim
5,1,1,Ruim
5,1,1,Boa
5,1,2,Ruim
8,4,3,Boa
5,1,1,Ruim
4,8,4,Boa
9,1,7,Boa
8,5,6,Boa
1,1,1,Ruim
3,1,1,Ruim
4,1,1,Boa
2,1,1,Ruim
5,1,1,Ruim
1,3,1,Boa
4,6,9,Ruim
3,1,1,Ruim
5,2,2,Ruim
5,5,1,Boa
5,6,1,Boa
6,1,1,Boa
4,2,1,Ruim
3,2,2,Ruim
5,1,1,Ruim
7,8,8,Boa
1,1,1,Ruim
8,4,8,Ruim
5,6,1,Boa
7,9,3,Boa
3,3,2,Ruim
2,1,1,Ruim
3,1,1,Ruim
2,1,1,Ruim
5,1,1,Ruim
5,1,2,Ruim
5,1,6,Boa
5,1,1,Ruim
4,1,1,Ruim
4,1,1,Ruim
8,7,2,Boa
1,1,1,Ruim
1,1,3,Ruim
2,1,1,Ruim
5,1,1,Ruim
3,1,8,Ruim
2,1,1,Ruim
7,6,4,Boa
4,1,1,Boa
1,1,1,Ruim
1,1,1,Ruim
1,1,1,Ruim
4,1,1,Ruim
5,3,1,Ruim
1,5,1,Boa
1,1,1,Boa
8,1,1,Boa
3,1,1,Ruim
6,1,1,Boa
8,3,9,Boa
3,1,1,Ruim
1,4,5,Boa
3,1,1,Ruim
3,1,1,Ruim
2,1,1,Ruim
8,2,1,Ruim
4,1,1,Ruim
1,3,5,Boa
1,1,1,Ruim
1,1,1,Ruim
1,1,1,Ruim
1,4,3,Boa
2,5,5,Boa
3,1,1,Ruim
4,1,1,Ruim
6,6,1,Boa
2,1,1,Ruim
3,3,1,Ruim
3,1,1,Ruim
4,4,3,Ruim
2,1,1,Ruim
1,1,1,Ruim
5,1,1,Ruim
2,1,1,Ruim
4,1,1,Ruim
3,1,1,Ruim
3,1,1,Ruim
1,1,1,Ruim
3,1,1,Ruim
3,1,1,Ruim
3,1,1,Ruim
1,1,1,Ruim
3,2,1,Ruim
5,3,3,Boa
6,6,6,Boa
1,1,1,Ruim
5,8,8,Boa
1,1,1,Ruim
5,1,2,Ruim
4,5,5,Boa
3,1,2,Ruim
1,8,1,Boa
6,2,1,Ruim
1,6,7,Boa
4,1,1,Ruim
9,5,1,Boa
3,1,1,Ruim
3,6,8,Boa
2,1,1,Ruim
1,1,1,Ruim
1,1,5,Boa
4,1,1,Ruim
3,1,1,Ruim
1,1,1,Ruim
3,1,3,Ruim
1,1,1,Ruim
1,3,1,Boa
3,1,1,Ruim
7,4,9,Boa
8,8,1,Boa
1,1,1,Ruim
3,1,1,Ruim
5,1,5,Boa
6,8,9,Boa
